shang1,shang2,shang3,shang4,shang5,shang6,wordnet1,wordnet2,wordnet3,wordnet4,wordnet5,wordnet6,word1,word2,square,SCS,SCQ1,SCQ2,SCQ3,SCQ4,SCQ5,idf1,idf2,idf3,idf4,ICTF1,ICTF2,ICTF3,ICTF4,a11,a12,a13,PMI1,PMI2,PMI3,PMI4,PMI5,var1,var2,var3,var4,var5,reporter1,reporter2,reporter3,comple1,comple2,comple3,comple4,comple5,read1,read2,read3,read4,read5,read6,read7,read8,cixing1,ci2,ci3,len1,len2,len3,len4,len5,len6,len7,len8,net1,net2,net3,net4,net5,net6,net7,net8,net9,selectrao1,selectrao2,selectrao3,selectrao4,selectrao5,selectrao6,selectrao7,selectrao8,selectrao9,daima200,daima201,daima202,daima203,daima204,daima205,daima206,daima207,daima208,daima209,daima2010,daima2011,daima2012,daima2013,daima2014,daima2015,daima2016,daima2017,daima2018,daima2019,daima2020,daima2021,daima2022,daima2023,daima150,daima151,daima152,daima153,daima154,daima155,daima156,daima157,daima158,daima159,daima1510,daima1511,daima1512,daima1513,daima1514,daima1515,daima1516,daima1517,daima1518,daima1519,daima1520,daima1521,daima1522,daima1523,daima100,daima101,daima102,daima103,daima104,daima105,daima106,daima107,daima108,daima109,daima1010,daima1011,daima1012,daima1013,daima1014,daima1015,daima1016,daima1017,daima1018,daima1019,daima1020,daima1021,daima1022,daima1023,daima50,daima51,daima52,daima53,daima54,daima55,daima56,daima57,daima58,daima59,daima510,daima511,daima512,daima513,daima514,daima515,daima516,daima517,daima518,daima519,daima520,daima521,daima522,daima523,fixcount201,fixcount202,fixcount203,fixcount205,fixcount206,fixcount151,fixcount152,fixcount153,fixcount155,fixcount156,fixcount101,fixcount102,fixcount103,fixcount105,fixcount106,fixcount51,fixcount52,fixcount53,fixcount55,fixcount56,fixfile201,fixfile202,fixfile203,fixfile204,fixfile205,fixfile206,fixfile151,fixfile152,fixfile153,fixfile154,fixfile155,fixfile156,fixfile101,fixfile102,fixfile103,fixfile104,fixfile105,fixfile106,fixfile51,fixfile52,fixfile53,fixfile54,fixfile55,fixfile56,subsquery1,subsquery2,subsquery3,rank1,WIG,kl150,kl151,kl152,kl153,kl154,kl155,kl156,kl157,kl158,kl159,kl1510,kl1511,kl100,kl101,kl102,kl103,kl104,kl105,kl106,kl107,kl108,kl109,kl1010,kl1011,kl50,kl51,kl52,kl53,kl54,kl55,kl56,kl57,kl58,kl59,kl510,kl511,NCQ,CT,fixfile1,fixfile2,fixfile3,fixfile4,fixfile5,idfnew,scqnew,sac,dev1,dev2,dev3,dev4,dev5,time1,hang1,hang2,hang3,hang4,hang5,RS,class20,class1,class5,class10,class15
-13.18769216,0,-94.17927055,319.1412452,17.86452477,0,1.104166667,0,5.134982639,2.266050008,9,0,116,21,0.569897832,21.05105913,315337.036,5786592.391,2405.533702,8771.268618,0,7.356775231,2.712337595,8.29729437,0,5.15160682,2.269715141,8.29729437,-0.274387006,52.38630535,1.455175149,5.143833854,1.29245233,8.29729437,-0.528853029,1.276454845,1.62933697,0.027283844,0.380370855,0,0.048216593,0.00232484,5,5,1,0,0,1,0,0,87.309375,-214.0237,66.9604,45.9,26.23790008,59.844,133.5,36,0,10,0,846,6,137,4.204442923,3,17.6773403,25,3,0,0,0,0,0,0,0,0,0,9,0.531801756,-0.014561457,-0.003868661,0.546698215,-0.43051531,-0.02922771,-0.23046916,-0.23925631,1.2,0.6,0.36,1,3,1,342.35,270.9725586,73426.1275,167.5,857,13,50.5,76.23745798,5812.15,12.5,285,1,7.75,11.04026721,121.8875,20.5,41,0,1.266666667,0.679869268,0.462222222,1,3,1,307.5333333,274.6733494,75445.44889,857,857,13,56.26666667,86.34231613,7454.995556,285,285,1,5.6,11.0923397,123.04,0,41,0,1,0,0,1,1,1,346.9,282.9029692,80034.09,264,857,19,67.8,99.4553166,9891.36,32.5,285,2,8.1,12.84873535,165.09,9,41,0,1,0,0,1,1,1,386.4,267.4027674,71504.24,22,731,22,65.4,90.04576614,8108.24,2,243,2,7.4,8.284926071,68.64,2,18,0,3,3.089571903,9.545454545,11,1,3,3.061862178,9.375,11,1,3,3.488074923,12.16666667,11,1,4,4.546060566,20.66666667,11,1,5.821052632,1.935697602,3.746925208,5,13,5,5.761904762,1.732181721,3.000453515,7.5,13,5,5.911111111,1.998023715,3.992098765,5,13,5,5.1,0.3,0.09,5.5,6,5,0.299270073,0.643495966,0.414087058,0,-29.09694646,2,3,4,6,-0.503103268,-0.107535313,-0.02564319,-0.43046397,-0.673210323,-0.046182692,-0.227730572,-0.280477732,2,3,4,5,-0.262469223,-0.067898951,-0.013500118,-0.200569659,-0.442109644,-0.129401505,-0.241728187,-0.224807411,2,2,4,4,-0.259773111,-0.155552473,-0.044562693,-0.221571624,-0.919035733,-0.685940087,-0.68667841,-0.734373301,0.002543745,0,0.033563104,0.114987803,0.013222195,0.034032278,1.000000238,3.456383078,2301.730189,-0.041021925,12.4,70,0,15.86001261,251.54,100000,142967.5,634952,0,181500.2081,3.29E+10,0.989585,1,0,0,1,1
-16.69362938,0,-94.47909204,421.4591613,20.52947056,-7.412990341,3,10,14.66666667,3.829708431,12,0,98,3,0.711188637,35.36680796,484810.6071,4.11E+07,6414.361868,37337.50974,0,4.061941662,2.015425926,8.29729437,0,3.781941137,1.944721352,8.29729437,-1.671325277,26.40056672,0.942877383,2.138281255,0.883349914,4.164798042,-1.191813457,0.766994516,0.588280587,0.03635672,0.432849385,0,0.070204435,0.004928663,6,6,1,0,0,1,0,0,35.13341737,-15.4233,25.2649,22.5894,17.14213562,29.3758,74.12044818,13.66666667,4,2,0,559,5,101,1.263065236,6,1.595333791,9,3,0,0,0,0,0,0,0,0,0,8,0.451989182,-0.023049262,-0.007962817,0.475693819,-0.54117,-0.12418367,-0.24096899,-0.24071543,1.2,0.6,0.36,1,3,1,347.9,325.294774,105816.69,320,1240,18,53.55,75.40588505,5686.0475,45.5,285,3,3.2,4.935585072,24.36,5.5,16,0,1,0,0,1,1,1,389.2666667,349.5374976,122176.4622,346,1240,37,60.13333333,84.21549079,7092.248889,9,285,3,3.733333333,5.446303537,29.66222222,15,16,0,1,0,0,1,1,1,485.3,372.09785,138456.81,185.5,1240,43,75.5,98.12976103,9629.45,15,285,5,4.7,6.261788882,39.21,2,16,0,1,0,0,1,1,1,494,441.8212308,195206,132,1240,43,81,86.97585872,7564.8,35,243,5,4,6.099180273,37.2,0,16,0,5,2.738612788,7.5,10,2,5,2.966479395,8.8,10,2,3,1.414213562,2,5,2,3,1,1,4,2,5.678947368,1.614760516,2.607451524,5,11,5,6.114285714,2.020439772,4.082176871,10.5,11,5,5.8,1.694435337,2.871111111,5,11,5,5.7,1.486606875,2.21,7.5,10,5,0.366336634,0.767182995,0.588569748,0,-33.01822688,1,3,4,4,0.090418816,0.041017099,0.010790961,0.085209608,0.018060565,-0.223508775,-0.076145887,-3.90E-04,1,3,4,4,0.067823827,9.30E-04,2.82E-04,0.065299958,-0.104682088,-0.257022798,-0.176640511,-0.120137453,2,3,3,3,0.089281747,-0.044713051,-0.015596565,0.123198032,-0.206219912,-0.503334165,-0.340093553,-0.27935189,0.002795173,0,0.041620464,0.107101298,0.011470688,0.002509765,1.000000238,3.544146614,4800.105021,-0.040824174,6.4,31,0,9.70772888,94.24,100000,57406.9,408284,0,110205.9128,1.21E+10,0.990515,1,0,1,1,1
-11.95821739,0,-128.923728,437.0819343,20.90650459,-5.301658964,3.267175573,3,14.82174698,3.849902205,21,0,235,130,0.829909221,18.57209551,956247.1548,1.44E+07,3795.906519,18972.28395,0,6.09026394,2.467846012,8.339500903,0,4.281808256,2.069253067,8.339500903,-1.0927823,87.52960325,1.182832476,5.320257542,0.932146237,5.120625078,-3.756522474,1.041530678,1.084786153,0.023180521,0.435496431,0,0.047492946,0.00225558,10,1,0.8,0,0,1,0,0,59.60983547,4.6982,39.782,47.4163,20.32050808,16.8646,132.4347349,25.2,3,22,2,1636,4,365,2.382087404,2,5.674340402,14,1,0,0,0,0,0,0,0,0,0,8,0.486142361,0.022065146,0.003842407,0.496787337,-0.1123593,0.0931187,0.09586453,0.10800317,1,0,0,1,1,1,561.4,414.9663119,172197.04,680,1689,5,45.05,55.60078686,3091.4475,18.5,243,0,22.8,73.22950225,5362.56,2.5,340,0,1,0,0,1,1,1,499.6,311.9638441,97321.44,371,1240,5,32.8,31.28620569,978.8266667,115,115,0,28.6,83.66743692,7000.24,0,340,0,1,0,0,1,1,1,553.9,299.7103435,89826.29,585,1240,173,43,32.37900554,1048.4,29,115,0,41.5,99.98824931,9997.65,184,340,0,1,0,0,1,1,1,567.8,382.9477249,146648.96,720,1240,173,25.4,18.39130229,338.24,40,52,0,72.6,133.8141995,17906.24,16,340,0,7,3.559026084,12.66666667,12,2,7,4.123105626,17,12,2,0,0,0,0,0,0,0,0,0,0,6.084210526,2.198866492,4.83501385,5,13,5,6.133333333,2.229954801,4.972698413,8,13,5,5.822222222,1.900747092,3.612839506,5,13,5,5.8,1.777638883,3.16,8,11,5,0.547945205,1.232450459,1.518934134,0,-33.98777914,1,4,8,9,-0.587104303,-0.143714999,-0.033127373,-0.565916389,-0.895233363,-0.226782739,-0.319748342,-0.414133891,1,5,8,10,-0.596314878,-0.125739078,-0.026723514,-0.616330117,-0.786467642,-0.006158173,-0.166646957,-0.308431134,2,3,4,6,-0.291706223,-0.142612545,-0.032716026,-0.220808178,-0.847022146,-0.524261773,-0.613016307,-0.635322884,0.003144302,0,0.058583246,0.148934666,0.022181535,0.02595321,1.000000238,2.247147502,2619.855219,0.003389271,10.81818182,35,0,13.26525319,175.9669421,100000,127387.2727,416927,0,170859.0683,2.92E+10,0.988598,0,0,0,0,0
-28.70266887,0,-165.1549015,1385.62153,37.22393759,-35.07409138,2.213483146,5,9.65105416,3.106614582,15,0,101,14,0.685173367,5.983637635,359427.3944,3.78E+07,6150.31932,39361.75817,0,5.880751611,2.425026105,8.455530531,0,6.593627718,2.567806013,8.455530531,-1.544266702,95.90612405,1.261922685,4.511885004,1.130716232,7.06923617,-0.696809897,1.054694021,1.112379477,0.027860213,0.216988973,0,0.029993884,9.00E-04,22,16,0.772727273,0,0,0,0,0,12.3635026,64.5606,9.5542,13.2208,11.66025404,11.7146,45.16145833,5.083333333,9,19,9,636,5,115,2.638582423,6,6.962117202,18,1,0,0,0,0,0,0,0,0,0,13,0.416448791,0.053274521,0.008848226,0.393869394,0.138921,0.119676915,0.12414775,0.12205347,1,0,0,1,1,1,624.3,441.9734268,195340.51,321.5,1588,59,62.55,73.29698152,5372.4475,19,285,5,19.9,29.7756612,886.59,30,137,0,1,0,0,1,1,1,539.9333333,409.4566264,167654.7289,1073,1569,59,63.6,82.3009113,6773.44,58,285,5,21.4,33.64679281,1132.106667,19,137,0,1,0,0,1,1,1,693.3,423.6283867,179461.01,507.5,1569,59,84.5,92.71380695,8595.85,149,285,13,13,10.76104084,115.8,15.5,31,0,1,0,0,1,1,1,686.2,545.6934671,297781.36,827,1569,59,84.4,83.60287076,6989.44,83,243,13,15.8,13.15142578,172.96,24,31,0,5,4.208834246,17.71428571,16,1,5,4.2958754,18.45454545,16,1,5,5.028490259,25.28571429,16,1,7,5.722761571,32.75,16,2,6.184210526,2.162543132,4.676592798,5,11,5,5.876190476,1.930680798,3.727528345,7.5,11,5,6.088888889,2.137726957,4.569876543,5,11,5,7.1,2.586503431,6.69,8,11,5,0.313043478,0.565150498,0.319395085,0,-19.27654333,1,6,6,10,-0.494669121,-0.17730218,-0.050131526,-0.457424328,-1.10110411,-0.55730097,-0.628555372,-0.706228524,1,3,5,9,-0.477988897,-0.213440098,-0.068062668,-0.398748085,-1.269657105,-0.771285579,-0.872663692,-0.888357013,2,3,5,8,-0.5346096,-0.31319134,-0.131112984,-0.420088306,-1.690576881,-1.144479737,-1.270724967,-1.303652853,0.003034926,0,0.047573372,0.128478938,0.016506838,0.003636721,1.000000238,3.984330273,3125.455603,-0.128706333,14.25,56,0,17.41228015,303.1875,100000,172211.05,421615,0,191074.128,3.65E+10,0.99168,1,0,1,1,1
-17.04310843,0,-137.1265744,1019.683897,31.93248968,0,2.233333333,1,17.31222222,4.160795864,21,0,29,10,0.616545012,4.236029995,130674.8147,1.31E+07,3624.829494,11187.16707,0,4.375410821,2.091748269,6.934883946,0,3.060929075,1.749551107,5.613128106,-0.470307719,18.10742312,0.862258244,2.512373487,1.013557651,3.230500306,-1.064347106,0.81346111,0.661718977,0.016828712,0.053312436,0,0.014188537,2.01E-04,6,6,0.833333333,0,0,0,0,0,9.119125,77.4425,6.4325,9.9,9.480740698,10.5234,43.5,4.4,3,6,2,226,5,39,2.126505345,5,4.522024984,13,1,0,0,0,0,0,0,0,0,0,8,0.453683383,0.014974037,0.002202106,0.453541559,-0.136258405,-0.001199965,-0.040649135,-0.058558765,1,0,0,1,1,1,326.8,397.0596429,157656.36,638,1752,65,21.9,26.27527355,690.39,5.5,105,4,12.7,13.68977721,187.41,7,48,0,1,0,0,1,1,1,366.6,448.2234264,200904.24,65,1752,65,24.8,29.66973767,880.2933333,5,105,4,12.06666667,13.06632653,170.7288889,4,48,0,1,0,0,1,1,1,349.9,480.8478866,231214.69,176.5,1752,65,24.2,29.016547,841.96,24.5,105,5,14.9,14.65230357,214.69,12,48,1,1,0,0,1,1,1,214,142.3460572,20262.4,455,455,89,14.4,7.14422844,51.04,20,23,5,7.2,5.035871325,25.36,8,16,1,2,2.314550249,5.357142857,10,1,2,2.593698658,6.727272727,10,1,2,3.11677489,9.714285714,10,1,1,0.577350269,0.333333333,2,1,5.963157895,2.027108526,4.109168975,5,13,5,5.847619048,1.814129477,3.29106576,10,12,5,6.155555556,1.954545194,3.820246914,5,11,5,6.4,1.854723699,3.44,8,10,5,0.641025641,1.270719148,1.614727153,0,-11.88727622,2,3,5,7,-0.731829503,-0.169816464,-0.061948384,-0.683695734,-1.385533273,-0.537788868,-0.702922612,-0.74748224,2,6,6,8,-0.579323819,-0.262592904,-0.120155302,-0.479587138,-1.544606388,-0.872086763,-1.069355935,-1.116722047,3,5,8,11,-0.577454948,-0.395728211,-0.233759759,-0.514489233,-1.8802163,-1.272259235,-1.358674318,-1.540330708,0.002517645,-31.36681328,0.047011007,0.125022577,0.015630645,0.015861142,1.000000238,2.482614795,3350.636274,-0.37498962,9.2,38,0,10.27423963,105.56,100000,116571.15,360036,0,157803.4058,2.49E+10,0.989761,1,0,0,0,1
-26.73989343,0,-149.813543,1091.078748,33.03148116,-8.184813129,3.642857143,6,15.22959184,3.902510966,12,0,79,5,0.831143552,18.87848777,267351.1571,2.47E+07,4966.538954,37478.34335,0,3.697965838,1.923009578,7.628031127,0,4.956930076,2.22641642,7.628031127,-1.652907494,36.304727,0.907618175,2.509678953,0.856892731,4.308898698,-1.965051466,0.845198329,0.714360216,0.058426389,0.434347315,0,0.097150154,0.009438152,7,7,1,0,0,1,0,0,25.49938356,29.5601,18.2039,22.8192,18,19.2425,74.85616438,14,1,7,0,520,6,84,1.592214619,5.5,2.535147392,9,3,0,0,0,0,0,0,0,0,0,8,0.440123728,0.023125647,0.004151653,0.433010628,-0.045201,0.12216345,0.10661187,0.13044756,2,1.923538406,3.7,2.5,9,1,215.45,306.5366985,93964.7475,678,1317,9,38.35,58.87467622,3466.2275,55.5,243,1,4.1,8.676981042,75.29,12,36,0,2.2,2.13541565,4.56,1,9,1,253,341.1922234,116412.1333,282,1317,23,46.33333333,65.79125237,4328.488889,85,243,1,4.6,9.782978415,95.70666667,0,36,0,2,1.264911064,1.6,1,4,1,149.7,209.4182657,43856.01,458.5,731,23,36,73.17103252,5354,127.5,243,1,1.1,2.022374842,4.09,0,6,0,1.4,0.8,0.64,3,3,1,183.6,274.1653516,75166.64,23,731,23,50.2,96.41244733,9295.36,5,243,1,0.2,0.4,0.16,1,1,0,4,3.240370349,10.5,10,1,3,2.34520788,5.5,7,1,1,0.707106781,0.5,2,1,1,0,0,1,1,5.663157895,1.75385606,3.07601108,5,16,5,5.761904762,1.944583733,3.781405896,6.5,16,5,6.177777778,2.610141664,6.812839506,5,16,5,8.2,4.686149806,21.96,10,16,5,0.916666667,1.320248293,1.743055556,0,-16.68244739,0,1,3,6,-0.336394778,-0.036397096,-0.00972753,-0.373566359,-0.474908054,-0.111372918,-0.100907922,-0.150802761,4,6,7,8,-0.009521411,-0.099933977,-0.033057963,0.010591567,-0.297790825,-0.274238497,-0.309782505,-0.342426598,3,4,5,6,-0.096657312,-0.401727471,-0.254129394,0.097504735,-1.231736362,-1.186717212,-1.313558161,-1.311680943,0.002922576,-396.1064945,0.066600648,0.15219247,0.023162548,0.049088081,1.000000358,3.38907276,3182.751871,-0.186757264,7.35,27,0,9.905932566,98.1275,100000,159087.95,612216,0,225912.6619,5.10E+10,0.989898,1,0,0,1,1
-31.14772948,0,-174.0747098,1358.970921,36.86422277,-8.999275541,2.352941176,2,10.34602076,3.216523086,12,0,37,2,0.504140283,7.604742541,108539.5297,3.14E+07,5600.837111,29530.28458,0,3.627300969,1.904547445,8.320204598,0,5.447493809,2.333986677,7.627057417,-1.685704155,35.22357596,1.100736749,4.445588033,0.995722519,4.886217393,-0.699580413,0.936630485,0.877276665,0.02138116,0.099041008,0,0.016951001,2.87E-04,5,4,1,0,0,0,0,0,10.69924812,65.4207,8.8546,13.615,12.258201,10.9196,40.80451128,4.142857143,0,18,8,251,6,39,2.362038144,5,5.579224195,13,3,0,0,0,0,0,0,0,0,0,9,0.550796558,0.022697751,0.003070126,0.560921658,0.2058923,0.035386185,0.012987545,0.037623085,1,0,0,1,1,1,410.6,406.3073221,165085.64,323.5,1752,5,40.95,61.72720227,3810.2475,59,285,1,10.25,13.65238074,186.3875,11.5,48,0,1,0,0,1,1,1,480.2,427.9442643,183136.2933,813,1752,5,49.26666667,68.49765608,4691.928889,62,285,1,12.6,14.81800706,219.5733333,17,48,0,1,0,0,1,1,1,361.5,291.7561482,85121.65,242,856,5,50.1,80.27633524,6444.29,15.5,285,1,5.6,5.986651819,35.84,6,17,0,1,0,0,1,1,1,328.6,183.389858,33631.84,628,628,136,19.4,5.314132102,28.24,23,24,10,7.8,3.969886648,15.76,3,12,3,2,1.309307341,1.714285714,5,1,2,1.414213562,2,5,1,2,0.774596669,0.6,3,1,2,0.866025404,0.75,3,1,5.326315789,1.230678933,1.514570637,5,13,5,5.333333333,1.151947971,1.326984127,5,11,5,5.2,0.933333333,0.871111111,5,10,5,5.4,1.2,1.44,5,9,5,0.615384615,1.146128033,1.313609467,0,-9.980007762,1,2,6,7,-0.630000244,-0.125108803,-0.023042649,-0.609520309,-0.901498839,-0.169140548,-0.293094613,-0.384901941,1,2,3,5,-0.52222767,-0.126998781,-0.023630771,-0.511256836,-0.952843472,-0.403055102,-0.443210103,-0.479884744,3,3,4,4,-0.323733113,-0.181315368,-0.043585937,-0.266361468,-0.842673466,-0.473311454,-0.563958891,-0.635383874,0.002308707,0,0.054378192,0.135537585,0.018370437,0.005105496,1.000000238,4.127479428,2783.064865,0.105733783,8.55,38,0,11.46941585,131.5475,100000,102131.85,367459,0,152321.6543,2.32E+10,0.990521,0,0,0,0,0
-12.66297797,0,-123.6686672,517.0625583,22.73900962,0,4.022222222,0,24.86617284,4.986599326,21,0,65,20,0.723205742,9.305921794,387475.9876,3.85E+07,6202.104726,29288.15405,0,4.2976484,2.073077037,8.338066526,0,3.641399195,1.908245056,7.644919345,-1.672839424,28.39805073,0.835236786,4.454338459,0.946509802,4.285040113,-0.945245459,0.780504871,0.609187853,0.038815799,0.435406474,0,0.07328889,0.005371261,0,0,0,0,0,1,0,0,20.218125,64.545,13.2,17.7333,12.48683298,12.9394,63.77777778,10,3,8,7,393,4,85,2.4057601,4,5.787681661,14,1,0,0,0,0,0,0,0,0,0,8,0.515130243,-0.005414908,-8.39E-04,0.533647197,0.129907,0.0506515,0.05913295,0.05803304,1.15,0.476969601,0.2275,1,3,1,450.65,422.2147883,178265.3275,580.5,1752,4,56,75.6564604,5723.9,154,285,1,6.1,10.81156788,116.89,0.5,48,0,1.066666667,0.249443826,0.062222222,1,2,1,502.9333333,464.7837442,216023.9289,731,1752,4,67.8,83.9676128,7050.56,243,285,1,5.733333333,11.76699716,138.4622222,0,48,0,1.1,0.3,0.09,1,2,1,536.9,514.3758256,264582.49,416.5,1752,4,59.5,72.1986842,5212.65,19,243,1,6.6,14.02996793,196.84,4,48,0,1,0,0,1,1,1,533,621.7279148,386545.6,1752,1752,4,60.6,43.12586231,1859.84,105,109,1,10.2,18.93568061,358.56,48,48,0,5,5.196152423,27,16,1,6,5.244044241,27.5,16,1,7,5.809475019,33.75,16,1,13,3,9,16,10,5.589473684,1.490282466,2.220941828,5,12,5,5.914285714,1.784132633,3.183129252,6.5,12,5,6.422222222,2.092195964,4.377283951,5,12,5,5.7,1.486606875,2.21,8,10,5,0.352941176,0.714651414,0.510726644,0,-23.41333696,1,3,5,8,-0.546579671,-0.131197231,-0.030893737,-0.5375745,-0.889136136,-0.241864562,-0.342004776,-0.456442267,1,2,3,5,-0.710964176,-0.140859089,-0.034529828,-0.65323478,-1.088548481,-0.34600234,-0.433592141,-0.461442679,1,3,3,4,-0.457197106,-0.2511438,-0.089262055,-0.318932712,-1.279970467,-0.764302194,-0.950770795,-0.971160442,0.002112967,0,0.046848931,0.128375774,0.016480339,0.003037334,1.000000238,2.555414987,4558.54103,0.122362111,10.15,38,1,12.74862738,162.5275,1.92E+08,85942.45,590927,4869,169662.9124,2.88E+10,0.992273,1,1,1,1,1
-18.13439996,0,-105.1712836,809.4199014,28.45030582,-21.07793521,3.173913043,0,14.23062382,3.772349907,15,0,58,16,0.74863388,10.09461647,269675.4525,4.11E+07,6409.751843,41958.53461,0,5.489027301,2.342867325,8.387539983,0,7.578758374,2.752954481,7.694392803,-1.86699169,39.96167272,1.110046464,4.478575524,0.935952775,4.464467142,-1.367302539,0.875569589,0.766622106,0.029387456,0.438509146,0,0.070633306,0.004989064,71,13,0.676056338,0,0,1,0,0,38.34174757,1.7897,25.8037,25.6485,16.96424004,26.1627,92.27669903,21,6,6,2,415,5,74,2.789059551,3,7.778853178,12,1,0,0,0,0,0,0,0,0,0,10,0.504851049,0.013055589,0.002311533,0.501672168,-0.18301625,-0.12889894,-0.1003511,-0.120511735,1.2,0.4,0.16,1,2,1,198.55,231.0503138,53384.2475,38.5,856,11,48.95,72.78494006,5297.6475,6,285,2,1.85,2.329699551,5.4275,4,9,0,1.2,0.4,0.16,2,2,1,220.6666667,246.8113089,60915.82222,440,856,11,58.93333333,80.87147554,6540.195556,114,285,2,1.4,1.743559577,3.04,4,6,0,1.3,0.458257569,0.21,1.5,2,1,197.6,207.808662,43184.44,147,647,11,56,60.97048466,3717.4,37,186,2,1.3,1.417744688,2.01,1.5,4,0,1.2,0.4,0.16,1,2,1,251.6,235.147273,55294.24,347,647,11,74.2,70.04398618,4906.16,115,186,2,0.8,0.979795897,0.96,0,2,0,5,5.277986629,27.85714286,16,1,5,5.277986629,27.85714286,16,1,3,3.405877273,11.6,10,1,3,3.774917218,14.25,10,1,5.621052632,1.381676688,1.909030471,5,13,5,5.742857143,1.493022319,2.229115646,10,10,5,6.044444444,1.632388238,2.664691358,5.5,10,5,7.3,1.791647287,3.21,8,10,6,0.5,1.327973461,1.763513514,0,-18.30885341,1,5,7,7,-0.426383984,-0.175243679,-0.044931289,-0.376394264,-0.938299239,-0.445270881,-0.548680678,-0.648598269,2,5,7,7,-0.333302875,-0.234858795,-0.074217334,-0.230709068,-1.13185519,-0.749884829,-0.905149475,-0.952425614,2,4,5,5,-0.258376268,-0.283596376,-0.103440616,-0.166840799,-1.394216478,-1.059123799,-1.222862497,-1.289468005,0.002573988,-122.7165832,0.043280566,0.11628515,0.013522236,0.115090836,1.000000238,2.963136523,3644.262871,-0.02216867,6.272727273,34,0,11.52933735,132.9256198,100000,49981.81818,335861,0,94006.49037,8.84E+09,0.990806,1,0,1,1,1
-12.13536444,0,-83.80064106,349.9474544,18.70688254,-6.142201019,3.2,0,15.12,3.888444419,16,0,42,2,0.620619026,12.67081786,300232.0439,9.26E+07,9625.482412,42002.49187,0,4.178281452,2.044084502,8.387995253,0,5.590939468,2.364516751,8.387995253,-1.867275297,17.3125394,0.752719104,2.325327223,0.768566421,2.858566165,-0.852292195,0.700453403,0.49063497,0.026797729,0.165731549,0,0.029799837,8.88E-04,18,1,0.666666667,0,0,1,0,0,18.77609244,47.9614,13.9604,17.6143,14.29158979,14.8689,54.96008403,7.5,0,13,4,252,5,44,1.697104973,4.5,2.880165289,11,3,0,0,0,0,0,0,0,0,0,7,0.525282351,0.004989233,6.39E-04,0.517504134,0.1064459,0.02263921,0.01340755,-0.01433097,1.35,0.653834842,0.4275,2,3,1,112.8,184.5913324,34073.96,25,856,4,25.6,61.23593716,3749.84,6,285,1,1.8,2.561249695,6.56,1,11,0,1.2,0.4,0.16,1,2,1,68.6,73.74080734,5437.706667,49,243,4,12.13333333,16.15700742,261.0488889,17,70,1,2,2.780887149,7.733333333,1,11,0,1.1,0.3,0.09,1,2,1,72.9,70.53573562,4975.29,145,243,4,14.1,19.0916212,364.49,38.5,70,1,1.9,3.238826948,10.49,2,11,0,1,0,0,1,1,1,77.2,45.87548365,2104.56,128,136,23,8.4,2.416609195,5.84,12,12,5,2.6,4.223742416,17.84,1,11,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,5.594736842,1.235004234,1.525235457,5,11,5,5.6,1.167822557,1.363809524,7,11,5,5.466666667,1.146976702,1.315555556,5,11,5,5.6,1.280624847,1.64,5,9,5,0.977272727,1.544618758,2.385847107,0,-21.23515191,1,4,6,7,-0.115047501,-0.075470355,-0.021579263,-0.066966981,-0.205006063,-0.032335222,-0.132748127,-0.123922169,2,3,6,6,-0.103030691,-0.114406328,-0.037166759,-0.069467992,-0.524724424,-0.420585573,-0.45408082,-0.49170512,2,3,4,5,0.029182987,-0.132089572,-0.045247221,0.106145963,-0.42339927,-0.38555032,-0.49903518,-0.543882221,0.001673921,-6.805058166,0.05062973,0.125311354,0.015702935,0,1.000000238,3.300708785,6823.455543,-0.035482394,1.8,7,0,1.720465053,2.96,100000,102119.2,346571,0,126397.9589,1.60E+10,0.990693,1,0,0,1,1
